LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC003239,9/18/2012,0.1405,0.1491,0.388,30,0.085921115,4.473,0.049
MAC003239,9/19/2012,0.104,0.146895833,0.45,48,0.103148156,7.051,0.053
MAC003239,9/20/2012,0.0925,0.145041667,0.371,48,0.104209478,6.962,0.028
MAC003239,9/21/2012,0.0825,0.159854167,0.821,48,0.16970199,7.673,0.033
MAC003239,9/22/2012,0.099,0.176895833,0.884,48,0.191155305,8.491,0.038
MAC003239,9/23/2012,0.1035,0.2010625,0.867,48,0.227600846,9.651,0.027
MAC003239,9/24/2012,0.1005,0.1805625,0.715,48,0.188178605,8.667,0.028
MAC003239,9/25/2012,0.1905,0.364145835,1.133,48,0.348020362,17.4790001,0.038
MAC003239,9/26/2012,0.086,0.184604167,0.911,48,0.210849421,8.861,0.025
MAC003239,9/27/2012,0.1135,0.242770833,0.966,48,0.234760561,11.653,0.033
MAC003239,9/28/2012,0.1075,0.229791667,1.072,48,0.243632699,11.03,0.032
MAC003239,9/29/2012,0.0905,0.151041667,0.944,48,0.160320684,7.25,0.029
MAC003239,9/30/2012,0.073,0.200333333,1.094,48,0.258057336,9.616,0.025
MAC003239,10/1/2012,0.1235,0.218125,0.903,48,0.234305277,10.47,0.037
MAC003239,10/2/2012,0.0945,0.202291667,1.103,48,0.23084562,9.71,0.033
MAC003239,10/3/2012,0.073,0.209291665,1.0549999,48,0.252836746,10.0459999,0.03
MAC003239,10/4/2012,0.119,0.227375,1.046,48,0.216772321,10.914,0.027
MAC003239,10/5/2012,0.082,0.204812498,1.0829999,48,0.246101654,9.8309999,0.034
MAC003239,10/6/2012,0.094,0.199729165,1.0779999,48,0.226385066,9.5869999,0.026
MAC003239,10/7/2012,0.079,0.1255,0.639,48,0.127839161,6.024,0.03
MAC003239,10/8/2012,0.1085,0.147270833,0.458,48,0.10514463,7.069,0.027
MAC003239,10/9/2012,0.1095,0.14925,0.917,48,0.146522455,7.164,0.029
MAC003239,10/10/2012,0.0735,0.13525,0.761,48,0.144971531,6.492,0.024
MAC003239,10/11/2012,0.106,0.173270833,0.706,48,0.172652491,8.317,0.025
MAC003239,10/12/2012,0.1135,0.1395,0.485,48,0.108822909,6.696,0.025
MAC003239,10/13/2012,0.11,0.1598125,0.568,48,0.124965979,7.671,0.024
MAC003239,10/14/2012,0.0845,0.122604167,0.741,48,0.114446817,5.885,0.026
MAC003239,10/15/2012,0.1255,0.1990625,0.89,48,0.208804236,9.555,0.024
MAC003239,10/16/2012,0.0725,0.146208333,0.572,48,0.138053791,7.018,0.034
MAC003239,10/17/2012,0.092,0.152833333,0.669,48,0.12520627,7.336,0.029
MAC003239,10/18/2012,0.114,0.165104167,0.47,48,0.125377938,7.925,0.025
MAC003239,10/19/2012,0.148,0.219875,0.695,48,0.184783787,10.554,0.033
MAC003239,10/20/2012,0.112,0.272708333,0.935,48,0.289158571,13.09,0.025
MAC003239,10/21/2012,0.133,0.147666667,0.379,48,0.087113605,7.088,0.025
MAC003239,10/22/2012,0.1125,0.160875,0.483,48,0.112127136,7.722,0.025
MAC003239,10/23/2012,0.1075,0.167791667,0.518,48,0.121418734,8.054,0.036
MAC003239,10/24/2012,0.0835,0.152895833,0.436,48,0.119361108,7.339,0.031
MAC003239,10/25/2012,0.1705,0.217104167,0.561,48,0.161861543,10.421,0.036
MAC003239,10/26/2012,0.131,0.182958333,0.55,48,0.143853939,8.782,0.025
MAC003239,10/27/2012,0.1185,0.166875,0.573,48,0.137951522,8.01,0.025
MAC003239,10/28/2012,0.0685,0.115229167,0.553,48,0.10226046,5.531,0.033
MAC003239,10/29/2012,0.0865,0.150083333,0.415,48,0.122942961,7.204,0.032
MAC003239,10/30/2012,0.0685,0.129895833,0.41,48,0.117130812,6.235,0.026
MAC003239,10/31/2012,0.104,0.158333333,0.635,48,0.130489803,7.6,0.024
MAC003239,11/1/2012,0.0875,0.1489375,0.638,48,0.143949224,7.149,0.025
MAC003239,11/2/2012,0.096,0.155041667,0.427,48,0.129665849,7.442,0.025
MAC003239,11/3/2012,0.127,0.1965,0.897,48,0.193452947,9.432,0.03
MAC003239,11/4/2012,0.1015,0.1749375,1.062,48,0.241670904,8.397,0.027
MAC003239,11/5/2012,0.0915,0.189020833,1.023,48,0.221991709,9.073,0.027
MAC003239,11/6/2012,0.106,0.207604167,0.713,48,0.198971477,9.965,0.024
MAC003239,11/7/2012,0.0915,0.166458333,0.761,48,0.167192838,7.99,0.025
MAC003239,11/8/2012,0.076,0.203354167,0.913,48,0.233184567,9.761,0.025
MAC003239,11/9/2012,0.097,0.137354167,0.394,48,0.10558701,6.593,0.026
MAC003239,11/10/2012,0.134,0.156104167,0.404,48,0.105468204,7.493,0.025
MAC003239,11/11/2012,0.094,0.164354167,1.031,48,0.192621168,7.889,0.026
MAC003239,11/12/2012,0.144,0.258354165,1.2029999,48,0.303092037,12.4009999,0.027
MAC003239,11/13/2012,0.0885,0.137375,0.424,48,0.114404215,6.594,0.025
MAC003239,11/14/2012,0.1085,0.187708333,0.688,48,0.174602766,9.01,0.024
