LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000040,12/8/2011,0.518,0.581740741,1.194,27,0.195928282,15.707,0.37
MAC000040,12/9/2011,0.2645,0.279145833,0.647,48,0.08497659,13.399,0.194
MAC000040,12/10/2011,0.257,0.353104167,0.958,48,0.190515006,16.949,0.192
MAC000040,12/11/2011,0.4175,0.466375,1.319,48,0.268452034,22.386,0.196
MAC000040,12/12/2011,0.464,0.478270833,1.074,48,0.217601406,22.957,0.201
MAC000040,12/13/2011,0.4175,0.427333333,1.101,48,0.177342718,20.512,0.19
MAC000040,12/14/2011,0.457,0.462875,1.177,48,0.203941442,22.218,0.19
MAC000040,12/15/2011,0.5515,0.5904375,2.027,48,0.365092638,28.341,0.19
MAC000040,12/16/2011,0.357,0.369833333,0.629,48,0.109494454,17.752,0.191
MAC000040,12/17/2011,0.32,0.386833333,1.164,48,0.196576479,18.568,0.197
MAC000040,12/18/2011,0.4355,0.448083333,1.085,48,0.134428631,21.508,0.279
MAC000040,12/19/2011,0.532,0.560270833,1.653,48,0.273058387,26.893,0.274
MAC000040,12/20/2011,0.4695,0.511645833,1.39,48,0.264977838,24.559,0.203
MAC000040,12/21/2011,0.373,0.427187502,1.3150001,48,0.199921553,20.5050001,0.211
MAC000040,12/22/2011,0.449,0.520041667,1.577,48,0.285045346,24.962,0.193
MAC000040,12/23/2011,0.459,0.499395833,1.257,48,0.255099875,23.971,0.19
MAC000040,12/24/2011,0.522,0.501062502,1.0140001,48,0.198718496,24.0510001,0.272
MAC000040,12/25/2011,0.5905,0.5929375,1.53,48,0.262060932,28.461,0.206
MAC000040,12/26/2011,0.5725,0.596458333,1.192,48,0.209875339,28.63,0.325
MAC000040,12/27/2011,0.5795,0.553270833,1.334,48,0.249369907,26.557,0.213
MAC000040,12/28/2011,0.5025,0.547916669,1.5880001,48,0.30336839,26.3000001,0.219
MAC000040,12/29/2011,0.574,0.569083331,2.036,48,0.339387607,27.3159999,0.206
MAC000040,12/30/2011,0.464,0.474812502,1.3940001,48,0.210205244,22.7910001,0.239
MAC000040,12/31/2011,0.4395,0.476729165,1.2819999,48,0.237329528,22.8829999,0.226
MAC000040,1/1/2012,0.516,0.513104167,1.451,48,0.222718336,24.629,0.232
MAC000040,1/2/2012,0.4595,0.517416667,1.497,48,0.236584098,24.836,0.247
MAC000040,1/3/2012,0.567,0.5323125,1.128,48,0.198118829,25.551,0.226
MAC000040,1/4/2012,0.4805,0.530395833,1.212,48,0.265961663,25.459,0.216
MAC000040,1/5/2012,0.485,0.459895833,0.981,48,0.155880101,22.075,0.238
MAC000040,1/6/2012,0.47,0.5038125,1.266,48,0.201054524,24.183,0.271
MAC000040,1/7/2012,0.4005,0.442333333,1.141,48,0.166958695,21.232,0.29
MAC000040,1/8/2012,0.34,0.349104167,0.549,48,0.077808614,16.757,0.231
MAC000040,1/9/2012,0.4325,0.507187498,1.235,48,0.254632451,24.3449999,0.24
MAC000040,1/10/2012,0.523,0.541270833,1.285,48,0.211753142,25.981,0.219
MAC000040,1/11/2012,0.4555,0.463854167,0.68,48,0.135082007,22.265,0.236
MAC000040,1/12/2012,0.5505,0.552833333,1.301,48,0.25722929,26.536,0.21
MAC000040,1/13/2012,0.306,0.388083331,1.135,48,0.20364046,18.6279999,0.237
MAC000040,1/14/2012,0.2815,0.3226875,0.567,48,0.106501854,15.489,0.192
MAC000040,1/15/2012,0.354,0.38475,1.011,48,0.182060722,18.468,0.188
MAC000040,1/16/2012,0.4665,0.471416669,1.4220001,48,0.237980951,22.6280001,0.199
MAC000040,1/17/2012,0.4085,0.503687502,2.1040001,48,0.387130926,24.1770001,0.19
MAC000040,1/18/2012,0.45,0.450395833,1.293,48,0.189095129,21.619,0.189
MAC000040,1/19/2012,0.454,0.461854167,1.188,48,0.201278254,22.169,0.189
MAC000040,1/20/2012,0.443,0.509291667,1.166,48,0.274686433,24.446,0.188
MAC000040,1/21/2012,0.3165,0.3305,0.644,48,0.105253493,15.864,0.189
MAC000040,1/22/2012,0.296,0.312854167,0.569,48,0.098221632,15.017,0.19
MAC000040,1/23/2012,1.51300005,1.512104169,3.858,48,1.229890348,72.5810001,0.191
MAC000040,1/24/2012,0.3315,0.357625,0.634,48,0.112167547,17.166,0.207
MAC000040,1/25/2012,0.366,0.402666667,1.164,48,0.196326295,19.328,0.191
MAC000040,1/26/2012,0.3415,0.363645831,1.3789999,48,0.19486639,17.4549999,0.189
MAC000040,1/27/2012,0.3775,0.4550625,1.263,48,0.265477363,21.843,0.188
MAC000040,1/28/2012,0.2665,0.2959375,0.474,48,0.08596917,14.205,0.19
MAC000040,1/29/2012,0.2865,0.300604167,0.552,48,0.088834232,14.429,0.186
MAC000040,1/30/2012,0.4595,0.4616875,1.275,48,0.234119642,22.161,0.188
MAC000040,1/31/2012,0.3535,0.36225,0.756,48,0.120196205,17.388,0.188
MAC000040,2/1/2012,0.4555,0.512041665,1.221,48,0.214874521,24.5779999,0.321
MAC000040,2/2/2012,0.394,0.3906875,0.79,48,0.119896969,18.753,0.247
MAC000040,2/3/2012,0.302,0.366791667,1.79,48,0.276626867,17.606,0.186
MAC000040,2/4/2012,0.3005,0.356770833,0.671,48,0.127121861,17.125,0.229
MAC000040,2/5/2012,0.3265,0.368625,0.981,48,0.149713148,17.694,0.241
MAC000040,2/6/2012,0.439,0.4516875,1.235,48,0.206877614,21.681,0.195
MAC000040,2/7/2012,0.403,0.400520833,0.933,48,0.1333506,19.225,0.205
MAC000040,2/8/2012,0.4335,0.441979167,1.296,48,0.240270104,21.215,0.184
MAC000040,2/9/2012,0.4175,0.4891875,1.7690001,48,0.333219864,23.481,0.199
MAC000040,2/10/2012,0.3155,0.362375,1.176,48,0.177248428,17.394,0.244
MAC000040,2/11/2012,0.3345,0.4519375,1.533,48,0.271984621,21.693,0.226
MAC000040,2/12/2012,0.2745,0.298770833,0.603,48,0.092678176,14.341,0.195
MAC000040,2/13/2012,0.2445,0.246125,0.322,48,0.033652558,11.814,0.194
MAC000040,2/14/2012,0.2315,0.24175,0.307,48,0.033796953,11.604,0.182
MAC000040,2/15/2012,0.2365,0.238395833,0.325,48,0.037345278,11.443,0.184
MAC000040,2/16/2012,0.2375,0.237583333,0.305,48,0.03488573,11.404,0.183
MAC000040,2/17/2012,0.2335,0.261854167,0.508,48,0.083259397,12.569,0.182
MAC000040,2/18/2012,0.3365,0.364833333,0.79,48,0.142984798,17.512,0.183
MAC000040,2/19/2012,0.33,0.381166667,0.892,48,0.182894032,18.296,0.184
MAC000040,2/20/2012,0.417,0.415875,1.228,48,0.169666961,19.962,0.196
MAC000040,2/21/2012,0.3345,0.353125,0.977,48,0.144408496,16.95,0.186
MAC000040,2/22/2012,0.4155,0.388458333,0.608,48,0.119552171,18.646,0.184
MAC000040,2/23/2012,0.3045,0.349583333,0.743,48,0.139644813,16.78,0.198
MAC000040,2/24/2012,0.2725,0.30025,0.557,48,0.097284732,14.412,0.183
MAC000040,2/25/2012,0.368,0.387,1.016,48,0.159328645,18.576,0.186
MAC000040,2/26/2012,0.3085,0.31925,0.559,48,0.090551384,15.324,0.182
MAC000040,2/27/2012,0.3185,0.428875,1.739,48,0.301754206,20.586,0.193
MAC000040,2/28/2012,0.271,0.341333333,1.074,48,0.169134006,16.384,0.182
MAC000040,2/29/2012,0.276,0.351979169,1.8150001,48,0.264537142,16.8950001,0.185
MAC000040,3/1/2012,0.322,0.3135,0.498,48,0.07895784,15.048,0.182
MAC000040,3/2/2012,0.2545,0.271854167,0.621,48,0.090450642,13.049,0.183
MAC000040,3/3/2012,0.2585,0.281729167,0.455,48,0.076553066,13.523,0.199
MAC000040,3/4/2012,0.3055,0.3339375,1.158,48,0.149612323,16.029,0.183
MAC000040,3/5/2012,0.35,0.409833333,0.963,48,0.196398675,19.672,0.2
MAC000040,3/6/2012,0.277,0.359041667,1.706,48,0.239395245,17.234,0.194
MAC000040,3/7/2012,0.277,0.314395833,0.923,48,0.149831926,15.091,0.182
MAC000040,3/8/2012,0.307,0.324791667,1.046,48,0.136592726,15.59,0.182
MAC000040,3/9/2012,0.3,0.337062502,1.0190001,48,0.157539927,16.1790001,0.181
MAC000040,3/10/2012,0.3045,0.3348125,0.581,48,0.119790359,16.071,0.182
MAC000040,3/11/2012,0.3795,0.369229167,0.547,48,0.102401014,17.723,0.191
MAC000040,3/12/2012,0.304,0.375562502,1.1,48,0.216373492,18.0270001,0.181
MAC000040,3/13/2012,0.2565,0.298958333,0.518,48,0.101741215,14.35,0.181
MAC000040,3/14/2012,0.261,0.3293125,1.085,48,0.183194253,15.807,0.18
MAC000040,3/15/2012,0.3095,0.322020833,0.598,48,0.095576969,15.457,0.193
MAC000040,3/16/2012,0.2655,0.279708333,0.462,48,0.073611678,13.426,0.188
MAC000040,3/17/2012,0.2675,0.285208333,0.52,48,0.074326754,13.69,0.181
MAC000040,3/18/2012,0.2525,0.305458333,1.001,48,0.155792546,14.662,0.182
MAC000040,3/19/2012,0.3615,0.418249998,1.09,48,0.22535102,20.0759999,0.187
MAC000040,3/20/2012,0.28,0.3033125,0.483,48,0.083195273,14.559,0.195
MAC000040,3/21/2012,0.2575,0.2944375,0.856,48,0.119386001,14.133,0.187
MAC000040,3/22/2012,0.302,0.318625,0.542,48,0.086924674,15.294,0.187
MAC000040,3/23/2012,0.2855,0.333729167,1.101,48,0.169279291,16.019,0.186
MAC000040,3/24/2012,0.373,0.402125,1.073,48,0.171593238,19.302,0.198
MAC000040,3/25/2012,0.277,0.289458333,0.498,48,0.06926697,13.894,0.2
MAC000040,3/26/2012,0.355,0.3931875,1.045,48,0.191679326,18.873,0.197
MAC000040,3/27/2012,0.2785,0.304729167,0.614,48,0.098089568,14.627,0.186
MAC000040,3/28/2012,0.273,0.309291667,0.897,48,0.13184597,14.846,0.196
MAC000040,3/29/2012,0.368,0.395395833,0.938,48,0.173311764,18.979,0.206
MAC000040,3/30/2012,0.277,0.329395833,1.063,48,0.159057295,15.811,0.203
MAC000040,3/31/2012,0.3955,0.398479167,1.018,48,0.159233001,19.127,0.204
MAC000040,4/1/2012,0.3335,0.3745,1.396,48,0.202124356,17.976,0.2
MAC000040,4/2/2012,0.3335,0.397374998,1.0599999,48,0.191970472,19.0739999,0.208
MAC000040,4/3/2012,0.326,0.339875,0.797,48,0.107416197,16.314,0.205
MAC000040,4/4/2012,0.275,0.3274375,1.08,48,0.150134961,15.717,0.206
MAC000040,4/5/2012,0.371,0.393479167,0.879,48,0.150696114,18.887,0.194
